Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0x93066A9f747E8cf13E5d9100455a7119e100e642	58	0	0	0	0	58	58	
0xF6Da275E9cE35745a9f68EBa39815b0b88aae1e0	58	0	0	58	0	0	58	
0x4F9B34729178bfBBA1202f88035BA8B3ec544AdC	55	0	0	0	0	55	55	
0x30D41a62B6e36E72B4FED35236c3168F4369b2f5	54	0	0	34	0	20	54	
0x01CEFf54bF3f44bA8bE84d1C1C6243AB37AECf8d	54	0	0	54	0	0	54	
0x208a17c5fABe5B90282e5906945ff335E39326c4	53	0	0	0	0	53	53	
0x374D5221a4367fe746cC6C92D333C6ce15386fCD	53	0	0	0	0	53	53	
0x537081B0Bf89a68323527f84B560CD23204dc783	53	0	0	53	0	0	53	
0x3b8FCcC2e86dba329397508C084A663f77F5F6e2	52	0	0	51	0	1	52	
0xF5794543CF6055Ae710E9c8E99E31343Cea004a8	50	0	0	30	0	20	50	
